5km.time,10km.time,15km.time,20km.time,half.time,25km.time,30km.time,35km.time,40km.time,finish.time
00:40:01,01:25:24,02:09:00,02:57:56,03:10:26,03:51:08,04:48:58,05:41:15,06:42:28,07:06:31
00:26:02,00:51:49,01:17:41,01:43:29,01:49:07,02:09:01,02:34:58,03:01:32,03:29:22,03:40:22
00:27:35,00:55:10,01:22:08,01:49:44,01:56:06,02:18:35,02:48:04,03:18:50,03:51:33,04:05:40
00:31:22,01:03:45,01:35:11,02:06:43,02:13:49,02:39:10,03:11:38,03:47:08,04:24:55,04:38:57
00:31:21,01:03:14,01:35:58,02:10:58,02:19:13,02:49:26,03:29:34,04:19:13,05:15:43,05:35:51
00:22:58,00:46:48,01:10:50,01:35:24,01:40:48,02:00:15,02:25:50,02:52:34,03:20:28,03:32:27
00:31:39,01:03:47,01:36:59,02:13:55,02:23:00,02:54:54,03:33:14,04:10:11,04:50:02,05:07:19
00:34:06,01:12:05,01:48:12,02:25:52,02:34:13,03:05:50,03:49:32,04:34:19,05:20:19,05:38:05
00:27:58,00:55:42,01:23:49,01:52:17,01:58:40,02:21:10,02:50:05,03:20:21,03:50:36,04:04:10
00:21:01,00:42:22,01:03:40,01:24:47,01:29:29,01:45:56,02:09:03,02:37:26,03:06:08,03:18:08
00:22:16,00:44:41,01:07:10,01:30:57,01:36:20,01:55:38,02:22:43,02:50:18,03:17:29,03:29:29
00:21:16,00:42:17,01:03:01,01:24:13,01:28:54,01:45:34,02:20:24,02:45:17,03:13:18,03:27:06
00:20:07,00:40:40,01:00:59,01:21:58,01:26:44,01:43:32,02:05:32,02:28:25,02:53:04,03:03:34
00:26:09,00:52:24,01:18:24,01:44:46,01:50:37,02:11:20,02:37:59,03:04:45,03:32:16,03:43:50
00:24:40,00:52:04,01:22:17,01:56:36,02:04:32,02:33:51,03:15:42,04:03:15,04:55:29,05:15:15
00:18:22,00:36:13,00:54:28,01:13:04,01:17:08,01:31:40,01:50:34,02:10:56,02:31:27,02:39:30
00:27:50,00:59:22,01:28:17,01:58:17,02:05:05,02:28:40,02:59:35,03:31:01,04:02:18,04:14:37
00:27:45,00:56:26,01:25:05,01:53:33,01:59:49,02:22:46,02:53:34,03:23:50,03:56:23,04:09:47
